mot,définition
soleil,Astre dont le rayonnement produit la lumière du jour et réchauffe la terre.
soleil,Lune.
soleil,"Cérémonie religieuse en usage dans certaines tribus d'Indiens de l'Amérique du Nord, comprenant notamment une danse que les participants exécutent en fixant le soleil."
soleil,"Phénomène observable au-delà du cercle polaire lorsque, à l'approche du solstice d'été, le soleil reste visible à toute heure au-dessus de l'horizon."
soleil,"Soleil qui se leva à l'aube du 2 décembre 1805, jour de la victoire de Napoléon Iersur les Austro-Russes à Austerlitz."
soleil,(D'un) jaune intense et lumineux.
soleil,Entre le lever et le coucher du soleil.
soleil,"Se lever tard, faire la grasse matinée. (Dict. xixes.)."
soleil,"Les conditions dans lesquelles le soleil se couche/se lève annoncent un bon ou un mauvais temps. (Ds Ac., dict. xixes.)."
soleil,L'astre diurne représenté sous les traits du dieu Apollon parcourant quotidiennement le ciel sur un char traîné par quatre chevaux.
soleil,"Étoile naine située sur le plan médian de la Galaxie, formée d'une masse quasi-sphérique de gaz incandescent libérant de l'énergie dans le milieu interplanétaire, et qui constitue l'astre central du système planétaire dont fait partie la Terre."
soleil,Étoile autour de laquelle gravitent d'autres astres.
soleil,"Symbole de la force vitale, qui a prérogative dans l'hémisphère zodiacal du Lion au Capricorne (d'apr. GDEL)."
soleil,"Lumière, chaleur du soleil; p. méton., endroit ou temps ensoleillé."
soleil,Soleil blafard annonçant la pluie.
soleil,"Soleil propre à un lieu, une période."
soleil,"(Exposé) à la lumière du soleil; (situé) dans un endroit, un pays ensoleillé."
soleil,"Place en vue, situation."
soleil,Avoir des biens immobiliers.
soleil,Destiné à protéger du soleil.
soleil,Qui n'est pas exposé au soleil; qui ne bénéficie pas d'un climat ensoleillé.
soleil,Où le soleil n'entre pas.
soleil,Durant laquelle le soleil ne brille pas.
soleil,"Sur terre, ici-bas."
soleil,Tout est sur terre un perpétuel recommencement.
soleil,Exposition au soleil (sans visées thérapeutiques).
soleil,Corsage qui laisse les épaules et le dos nus.
soleil,Robe d'été qui laisse les épaules et le dos nus.
soleil,Léger accès d'ivresse.
soleil,Rougeur qui monte au visage.
soleil,"État morbide parfois provoqué par la lumière de l'arc voltaïque, pendant la soudure électrique des métaux. (Ds Lar. 20e-Lexis 1975)."
soleil,",,Blessure localisée de l'écorce et du cambium, pouvant provoquer des chancres, causée par le gel aussitôt après un ensoleillement excessif hors saison`` (Métro 1975)."
soleil,"Pays bénéficiant d'un climat ensoleillé, pays chaud."
soleil,Placer les adversaires d'un combat singulier de telle sorte qu'aucune des deux parties ne soit gênée par le soleil.
soleil,"Il fait beau, le temps est ensoleillé."
soleil,Il fait un temps superbe.
soleil,Le temps est trop (un peu etc.) ensoleillé.
soleil,Le temps est couvert.
soleil,"Ôte-toi de là, tu me gênes."
soleil,Jour.
soleil,D'un jour à l'autre.
soleil,Année.
soleil,"Représentation conventionnelle du soleil sous la forme d'un cercle, parfois à figure humaine, entouré de rayons divergents."
soleil,",,Figure généralement représentée par un disque entouré de seize rayons`` (Past. Hérald. 1979)."
soleil,Ornement en forme de soleil; objet décoratif représentant un soleil.
soleil,Ostensoir en forme de soleil.
soleil,Objet marqué d'un soleil.
soleil,"Carte du jeu de tarot, parfois utilisée à des fins divinatoires, sur laquelle est représenté un soleil."
soleil,Format de papier caractérisé par un filigrane en forme de soleil.
soleil,Élément naturel ou objet qui présente des ressemblances avec certains aspects du soleil.
soleil,Coiffe auréolée de dentelle portée dans le Pas-de-Calais.
soleil,Coiffe alsacienne de la région d'Obernai dont la calotte généralement dorée est entourée d'un large volant de dentelle empesée.
soleil,"Source lumineuse; p. méton., lumière."
soleil,",,Lumière artificielle très vive, donnée au studio par les sunlights. Le projecteur lui-même`` (Giraud 1956)."
soleil,Pièce d'artifice constituée d'une roue garnie de fusées que la mise à feu fait tourner dans un plan vertical; effet lumineux produit.
soleil,Objet rond et brillant.
soleil,Or.
soleil,",,Grand tour arrière à la barre fixe`` (Encyclop. des sports, Paris, Larousse, 1961)."
soleil,"Culbute d'une personne; p. anal., d'un véhicule."
soleil,Se retourner complètement.
soleil,"Bonheur, joie."
soleil,"Symbole des forces destructrices, de la souffrance, de la mort."
soleil,Ce qui éclaire (intellectuellement ou moralement).
soleil,"Personne qui procure de la joie, du bonheur, qui illumine l'existence de son entourage."
soleil,"Personne qui possède des fonctions importantes, qui exerce le pouvoir et en particulier le pouvoir royal."
soleil,Vivre dans le voisinage d'un personnage puissant et en tirer bénéfice.
soleil,"Personne resplendissante (physiquement, intellectuellement, etc.)."
soleil,Personne resplendissante de (quelque chose).
soleil,Dieu.
soleil,Relatif à la fois au soleil et à la lune.
soleil,Ensoleillement.
soleil,Traversé de soleil.
soleil,Brève apparition du soleil par un temps couvert; rayon de soleil.
